name	size
WGD2ANC00227	4
WGD2ANC00228	4
WGD2ANC00229	4
WGD2ANC00230	7
WGD2ANC00231	4
WGD2ANC00232	13
WGD2ANC00233	7
WGD2ANC00234	2
WGD2ANC00235	7
WGD2ANC00236	6
WGD2ANC00237	6
WGD2ANC00238	5
WGD2ANC00239	4
WGD2ANC00240	2
WGD2ANC00241	7
WGD2ANC00242	5
WGD2ANC00243	4
WGD2ANC00244	6
WGD2ANC00245	2
WGD2ANC00246	6
WGD2ANC00247	4
WGD2ANC00248	10
WGD2ANC00249	6
WGD2ANC00250	7
WGD2ANC00251	7
WGD2ANC00252	7
WGD2ANC00253	7
WGD2ANC00254	4
WGD2ANC00255	6
WGD2ANC00256	6
WGD2ANC00257	7
WGD2ANC00258	5
WGD2ANC00259	7
WGD2ANC00260	5
WGD2ANC00261	6
WGD2ANC00262	4
WGD2ANC00263	5
WGD2ANC00264	4
WGD2ANC00265	7
WGD2ANC00266	4
